AnalyticalRecord,Passage,Analysis,List
urn:cite:ptolemy:geotype_ex.152,urn:cts:greekLit:tlg0363.tlg009.hc01:2.9.10,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.153,urn:cts:greekLit:tlg0363.tlg009.hc01:2.10.1,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.154,urn:cts:greekLit:tlg0363.tlg009.hc01:2.10.2,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.155,urn:cts:greekLit:tlg0363.tlg009.hc01:2.10.3,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.156,urn:cts:greekLit:tlg0363.tlg009.hc01:2.10.4,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.157,urn:cts:greekLit:tlg0363.tlg009.hc01:2.10.5,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.158,urn:cts:greekLit:tlg0363.tlg009.hc01:2.10.6,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.159,urn:cts:greekLit:tlg0363.tlg009.hc01:2.10.7,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.160,urn:cts:greekLit:tlg0363.tlg009.hc01:2.10.8,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.161,urn:cts:greekLit:tlg0363.tlg009.hc01:2.10.9,urn:cite:ptolemy:geotype.5,
urn:cite:ptolemy:geotype_ex.162,urn:cts:greekLit:tlg0363.tlg009.hc01:2.11.1,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.163,urn:cts:greekLit:tlg0363.tlg009.hc01:2.11.2,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.164,urn:cts:greekLit:tlg0363.tlg009.hc01:2.11.3,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.165,urn:cts:greekLit:tlg0363.tlg009.hc01:2.11.4,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.166,urn:cts:greekLit:tlg0363.tlg009.hc01:2.11.5,urn:cite:ptolemy:geotype.6,
urn:cite:ptolemy:geotype_ex.167,urn:cts:greekLit:tlg0363.tlg009.hc01:2.11.6,urn:cite:ptolemy:geotype.3,
